Lex	Type	Regex	Direction	Codes	     
urinary tract infect	URINARY TRACT INFECTION	
urinary tract infection	URINARY TRACT INFECTION	\burinary( tract)? infect(ion)?s?\b	
uti	URINARY TRACT INFECTION	\butis?\b	
